Domain,blzpack_comp,bsc_comp,bzip2_comp,GeCo3_comp,gzip_comp,JARVIS_comp,lizard_comp,lz4_comp,lzop_comp,mbgc_comp,MFCompress_comp,naf_comp,NUHT_comp,snzip_comp,zip_comp,xz_comp,zstd_comp
archaea,0.30722097641193635,0.24629708350395518,0.27425020637118214,0.22641153213691845,0.2956732900441342,0.22607396250659934,0.2739239124076205,0.3812169074872115,0.36490506925621874,0.23221574400873585,0.22786206385928578,0.23738080845504358,0.24811054995482584,0.4748744548225858,0.28324473997231053,0.25995151089704843,0.29281568290986615
archaea,0.3193701683651679,0.25538925887856007,0.28107879179242795,0.23828328028808024,0.3024774549251767,0.237719523483137,0.28375017625313426,0.3927389839236706,0.3744577023130542,0.24443550974449937,0.24035562681121908,0.2467564314513245,0.25823383120160703,0.480836430960881,0.2929781773075878,0.27089238239062596,0.3007680549623687
archaea,0.30593644927396635,0.24382104556548231,0.2723938289734763,0.22387330978838052,0.2947751362933831,0.2228911197476615,0.2726540422713242,0.3793441617234537,0.3636990594682224,0.22960563459592107,0.224936462067691,0.23632465017167262,0.24719759465703264,0.4738300404101175,0.2822093235195182,0.2577000760190329,0.29202511443605883
archaea,0.3068059822004502,0.2444179060043033,0.27287925535993796,0.22546938533158706,0.2949076642714409,0.2250634582249053,0.2737140321438398,0.37968360240154087,0.36428435299583656,0.23040121159632101,0.2272909956485808,0.23744479929270923,0.24731354678358616,0.47399646354610697,0.282358665890812,0.259337320865529,0.29221162564109504
archaea,0.31578189995992967,0.25752101734248906,0.28219852953652863,0.22684127144081978,0.3015184303918408,0.2252986392523735,0.27545607731092875,0.3931806049183388,0.3725776705175076,0.2472485913388057,0.22732989962200825,0.23795703991239348,0.25669611683306076,0.4809894368357234,0.29181769176652705,0.26045058885105193,0.2998882077078599
archaea,0.31093951469978787,0.2487037363098126,0.27589893974331275,0.2285997521685254,0.29832120685090513,0.2277340288185186,0.2762654381026559,0.3844365318388402,0.36782903030941433,0.23436621797528365,0.22904409129204498,0.23955691117233086,0.24812810322234072,0.4765216794031254,0.28580336568514303,0.2626619416570493,0.295699077679968
archaea,0.2977277613426488,0.23184704727156602,0.2666426111697132,0.19862483533068157,0.28875925183213624,0.1837469144486935,0.23945294279611207,0.3707833836026166,0.35720652817573423,0.22176033432949913,0.1892793094653964,0.2299108731265315,0.249593214841152,0.4686572380852998,0.2755047568278427,0.2125506831300141,0.28549466106265786
archaea,0.31154197592215577,0.2508664497202674,0.27819929145092254,0.23074388375233743,0.29799458168352544,0.2315847054851444,0.277273528798833,0.3868613840752793,0.3682026578605665,0.24005065644988058,0.23124863899305978,0.2361247815841362,0.25386335582949937,0.47737211650983474,0.2857456597361376,0.26567704910148926,0.2955988201535724
archaea,0.30140124871083884,0.23950013562616773,0.2695511890210736,0.22029826969331048,0.291096747774757,0.22008086003796493,0.26863719691351895,0.3741811956099876,0.36004947148548894,0.22481688092117483,0.22248547085801884,0.23274186706165315,0.245913994482794,0.47148263866291124,0.2777980200954751,0.25389598636802624,0.28825619901845606
archaea,0.3077157765586976,0.2511636491735052,0.2787764922378049,0.22487311255248696,0.29666657598748764,0.22235331978426084,0.2737420760458552,0.38528194280255823,0.36504992577507456,0.23809035158613379,0.22621182564112832,0.23171640878770777,0.25081895350947364,0.47620205295365614,0.28491317698176766,0.2570802934286406,0.29380914879454656
