Domain,blzpack_comp,bsc_comp,bzip2_comp,gzip_comp,lizard_comp,lz4_comp,lzop_comp,snzip_comp,zip_comp,xz_comp,zstd_comp
archaea,0.7124324636595176,0.5201642914552402,0.5411942932107785,0.5808377675162611,0.5601728952751344,0.7749764572790055,0.7405909040685299,1.000126196836778,0.5808946963115189,0.5377566913769422,0.5489618487331801
archaea,0.7158751618863897,0.5242545097890464,0.5397536075602976,0.5797795093826371,0.5653966826159756,0.775863890800518,0.7381504581588031,1.000131405688647,0.5799122697691053,0.5392239207122459,0.5470588155606011
archaea,0.7094399876684695,0.5215768274456977,0.5390526391039088,0.579533903890017,0.5651119332131456,0.7726424325284329,0.7360762052842396,1.0001306874158071,0.5796444855495462,0.5380590796478365,0.5498360263876881
archaea,0.69106139085626,0.5119093922567828,0.533982090052101,0.5701155811979799,0.5580490106904045,0.7577415045726312,0.719039119497334,1.0001354853687219,0.5702685731031097,0.5289866379457983,0.5386624245030618
archaea,0.7049603598794161,0.5191997675694435,0.537532769883207,0.5770969878905873,0.5587521785093662,0.7688964735241272,0.7328107019259436,1.000129034380072,0.5771800590437709,0.5362989313338908,0.5452634473010519
archaea,0.6395699440095309,0.4847934197448029,0.5185378955635984,0.5447126481271352,0.5376922178007578,0.7157907271723507,0.6772791072934286,1.0001248224659696,0.5446324580265939,0.5070310791272576,0.5265563500281221
archaea,0.6278090046887113,0.4761348358055936,0.5125666352574136,0.538548343495092,0.5328071040211204,0.7048575036387192,0.6675193811402454,0.9860817125939965,0.5384279479891414,0.5003440297852813,0.5219216793666271
archaea,0.6352493716268461,0.4790618009838716,0.5174545864438134,0.5455861887514605,0.5288636153145994,0.714890081441557,0.6784168950451639,0.9989652768628267,0.5455230599175733,0.49322678544358994,0.517925439083825
archaea,0.6164046669862582,0.47088787733519016,0.5076497015858985,0.532680552317608,0.5261176940226292,0.6960709201497036,0.6581001781622668,0.9189671934849994,0.5324338112678845,0.49081930503269117,0.5160183220215334
archaea,0.7122356399916459,0.5236789018701598,0.5402309284702359,0.5809016477673874,0.5645316188852374,0.776405593899614,0.7387919923667494,1.0001247350213103,0.5809460374546864,0.5391260691533621,0.5528051951914428
archaea,0.7132888424488109,0.5247333845544522,0.5408521673719962,0.580742068415787,0.5650057436723819,0.7763538437716578,0.7386083831091824,1.00012559678309,0.5807865033787575,0.5391910705674821,0.5532846619349476
archaea,0.648673686810981,0.48924153709205986,0.5220304802976333,0.5498340849801762,0.5430380473383108,0.7234405062237432,0.6855918765750683,1.000123857257364,0.549816798669189,0.5166499062175672,0.5319479557846374
archaea,0.6661094046900499,0.4989150738828158,0.5287983367983368,0.5588911988911989,0.5493921713276552,0.7382269018398051,0.7000555294748844,1.0001248295441845,0.5589094404578275,0.5255502649051036,0.5385942369168175
archaea,0.7158776859662468,0.5235048308095444,0.5411468976270708,0.5830337980321456,0.5660453023648303,0.777230208136939,0.7412537506319088,1.0001297562976434,0.5831221890671175,0.5419110664269513,0.5516976521512331
archaea,0.6841299641095197,0.5111430196529216,0.5334297218786088,0.5699837849806229,0.5484077328273929,0.7571777646077702,0.7199521637040779,1.0001339098084294,0.57011371726999,0.5181752733549976,0.5293043716912014
